"1","1","3","1","4","2","5","1","7"
"2","1","0","1","1","2","1","5","2","2","3","2","4","1","5","1","9"
"3"
"4","1","2","0","6","3","6","2","9"
"5","2","2"
"6"
"7","2","0"
"8","3","5"
"9"
"10","3","1","3","9"
"11","3","4"
"12","3","3"
"13","3","7"
"14"
"15","3","2"
"16"
"17","2","7","2","8"
"18"
"19"
"20"
"21","4","7"
"22"
"23"
"24"
"25"
"26","4","2"
"27"
"28"
"29"
"30"
"31"
"32"
"33"
"34"
"35","3","8"
"36","4","9"
"37","4","3"
"38","4","1","4","4"
"39"
"40"
"41","4","5"
"42"
"43","3","0"
"44","4","6"
"45"
"46"
"47"
"48"
"49"
"50"
"51"
"52"
