"1","1","1","0","4","0","5","0","9"
"2","1","4","1","6","4","8"
"3","0","1","0","3","1","7","4","7"
"4","1","3","1","5","0","7"
"5","4","2","2","3","1","8","1","9","2","9"
"6","2","1","4","3","2","4","4","9"
"7","1","0","1","2","0","6","4","6"
"8","4","1","3","8"
"9","2","2"
"10"
"11","4","4","4","5"
"12","3","0","2","7","3","7"
"13","3","2"
"14","3","4"
"15","2","0"
"16","3","1","3","3"
"17","3","9"
"18","3","5","3","6"
"19","2","8"
"20"
"21"
"22"
"23"
"24"
"25"
"26"
"27"
"28"
"29"
"30"
"31"
"32"
"33"
"34"
"35"
"36"
"37"
"38"
"39"
"40"
"41"
"42"
"43"
"44"
