"1","5","2","1","3","1","6"
"2","3","6","4","8"
"3","0","6","1","7"
"4","1","4","4","7"
"5","1","0","1","5"
"6"
"7","2","1","1","2","2","5"
"8","2","2","3","7","2","9"
"9"
"10"
"11"
"12","3","1","1","9"
"13","2","4"
"14","1","1","3","3"
"15","4","3","4","9"
"16","4","4"
"17","4","2","3","5","3","9"
"18"
"19","4","1","3","2","3","4"
"20","2","0"
"21"
"22","2","3"
"23","4","5","3","8"
"24"
"25"
"26"
"27","3","0","2","8"
"28"
"29"
"30"
"31"
"32"
"33"
"34"
"35"
"36"
"37","2","7"
"38"
"39"
"40"
"41"
"42"
"43"
"44"
"45"
"46","4","6"
"47"
"48"
"49"
"50"
"51"
"52"
