"1","5","1","1","3","5","3","1","6"
"2","4","0","1","4","5","4","5","5","5","6","5","7","1","8","5","9"
"3","0","6","4","7","4","8"
"4","5","2","1","7"
"5","1","5"
"6","1","0","2","1","2","5"
"7","3","6"
"8","1","2","1","9"
"9","2","2"
"10","3","7"
"11","1","1","4","3"
"12","2","9"
"13","4","2"
"14","4","4"
"15","3","1","2","4","3","9","4","9"
"16"
"17","2","0","3","3"
"18","3","2","3","5"
"19","4","1","3","4"
"20"
"21","4","5"
"22","2","3","3","8"
"23"
"24"
"25","2","8"
"26"
"27","3","0"
"28"
"29"
"30"
"31"
"32"
"33","2","7"
"34"
"35"
"36"
"37"
"38"
"39","4","6"
"40"
"41"
"42"
"43"
"44"
"45"
"46"
"47"
"48"
"49"
"50"
"51"
"52"
