"1","1","1","2","4"
"2","1","0","2","1","5","2","1","3","2","3","1","4","1","5","3","6","1","9"
"3","2","0","1","2","2","2"
"4","0","6","2","9"
"5"
"6"
"7"
"8","3","4","3","5"
"9","3","9"
"10","3","2"
"11","3","7"
"12","3","1"
"13","3","3"
"14"
"15"
"16"
"17"
"18","2","8"
"19"
"20","2","7"
"21","4","7"
"22"
"23"
"24"
"25"
"26"
"27"
"28"
"29"
"30"
"31"
"32"
"33"
"34","4","2","3","8"
"35","4","3"
"36"
"37","4","1","4","9"
"38"
"39"
"40"
"41","4","4"
"42","4","5"
"43"
"44"
"45"
"46","4","6"
"47","3","0"
"48"
"49"
"50"
"51"
"52"
