Indicators:,cultural,borders,gatherings,manufacturing,contact,leisure,eateries,schools ,stores,last week,mean,rounded,round,date,average,std dev,change
MichiganUSA,1,3,2,4,1,2,2,1,1,1,1.8,1,2,2020-05-29,2.307692308,0.789477145,0
Netherlands,2,1,1,4,3,3,1,2,3,2,2.2,2,2,2020-05-29,2.307692308,0.789477145,0.64
NewYorkUSA,1,3,2,2,1,2,2,1,1,1,1.6,1,2,2020-05-29,2.307692308,0.789477145,0
NewZealand,3,2,3,4,4,3,3,4,3,3,3.2,3,2,2020-05-29,2.307692308,0.789477145,0.42
Norway,2,2,2,3,3,3,3,4,3,3,2.8,2,2,2020-05-29,2.307692308,0.789477145,0.02
Poland,3,3,2,3,3,3,3,3,3,3,2.9,2,2,2020-05-29,2.307692308,0.789477145,-0.21
Portugal,1,2,2,-10,3,3,3,2,2,1,2.11,2,2,2020-05-29,2.307692308,0.789477145,0
Slovakia,4,3,3,3,4,4,3,3,4,3,3.4,3,2,2020-05-29,2.307692308,0.789477145,-0.16
Slovenia,3,2,3,-10,4,3,4,3,4,2,3.11,3,2,2020-05-29,2.307692308,0.789477145,0.44
Spain,2,2,2,4,3,2,3,2,3,2,2.5,2,2,2020-05-29,2.307692308,0.789477145,0.39
SouthKorea,4,3,4,4,4,4,3,3,4,3,3.6,3,2,2020-05-29,2.307692308,0.789477145,-0.18
Sweden,4,3,3,4,4,4,4,4,4,3,3.7,3,2,2020-05-29,2.307692308,0.789477145,0.03
Switzerland,3,2,2,-10,4,3,4,3,4,2,3,3,2,2020-05-29,2.307692308,0.789477145,0
TexasUSA,4,3,-10,-10,3,4,3,3,4,3,3.38,3,2,2020-05-29,2.307692308,0.789477145,0
Turkey,3,1,2,4,3,2,1,1,3,2,2.2,2,2,2020-05-29,2.307692308,0.789477145,0.53
UnitedKingdom,1,3,1,3,1,2,1,1,1,1,1.5,1,2,2020-05-29,2.307692308,0.789477145,0.28
Australia,3,2,2,4,3,3,3,3,3,2.78,2.89,2,3,2020-06-05,2.538461538,0.710584947,0.11
Austria,4,2,2,3,4,4,4,3,3,2.89,3.22,3,3,2020-06-05,2.538461538,0.710584947,0.33
Belgium,3,2,2,3,3,3,2,2,3,2.56,2.56,2,3,2020-06-05,2.538461538,0.710584947,0
CaliforniaUSA,3,3,3,3,3,2,2,1,4,2.63,2.66,2,3,2020-06-05,2.538461538,0.710584947,0.03
Chile,1,2,2,-10,1,1,1,1,1,1.25,1.25,1,3,2020-06-05,2.538461538,0.710584947,0
CzechRepublic,4,3,4,4,4,4,3,4,4,3.56,3.78,3,3,2020-06-05,2.538461538,0.710584947,0.22
Denmark,3,3,3,4,4,3,3,3,4,3.33,3.33,3,3,2020-06-05,2.538461538,0.710584947,0
Estonia,4,3,3,4,4,4,4,3,4,3.22,3.67,3,3,2020-06-05,2.538461538,0.710584947,0.45
Finland,3,3,4,3,3,4,3,3,3,2.56,3.22,3,3,2020-06-05,2.538461538,0.710584947,0.66
France,3,2,2,4,3,2,3,2,3,2.22,2.67,2,3,2020-06-05,2.538461538,0.710584947,0.45
Germany,3,2,2,4,4,4,4,3,3,3,3.22,3,3,2020-06-05,2.538461538,0.710584947,0.22
Greece,3,2,2,-10,4,4,3,4,4,2.88,3.25,3,3,2020-06-05,2.538461538,0.710584947,0.37
Hungary,4,3,3,4,4,4,3,4,4,4,3.67,3,3,2020-06-05,2.538461538,0.710584947,-0.33
Iceland,4,3,4,4,4,4,3,4,4,3.78,3.78,3,3,2020-06-05,2.538461538,0.710584947,0
