"1","1","3","1","4","2","5","1","7"
"2","1","0","1","1","2","1","5","2","2","3","2","4","1","5","1","9"
"3","1","2","3","6"
"4","0","6","2","9"
"5","2","0","2","2"
"6"
"7"
"8","3","5"
"9","3","9"
"10","3","1","3","4"
"11"
"12","3","3","3","7"
"13"
"14","3","2"
"15"
"16"
"17","2","8"
"18","2","7"
"19"
"20"
"21","4","7"
"22"
"23"
"24"
"25"
"26"
"27"
"28","4","2"
"29"
"30"
"31"
"32"
"33"
"34"
"35","3","8"
"36"
"37","4","3","4","9"
"38","4","1"
"39","4","4"
"40"
"41","4","5"
"42"
"43"
"44"
"45","3","0","4","6"
"46"
"47"
"48"
"49"
"50"
"51"
"52"
