"1","5","2","1","3","1","6"
"2","4","7","4","8"
"3","1","4","2","5","0","6","3","6","1","7"
"4"
"5","1","0","1","2","1","5"
"6","2","1"
"7"
"8","2","2"
"9","1","1","1","9","2","9"
"10","3","7"
"11"
"12","2","4"
"13","3","3"
"14"
"15","4","3"
"16","4","2","4","4"
"17","3","9","4","9"
"18","4","1","3","5"
"19","3","1"
"20","2","0"
"21","3","4"
"22","3","2"
"23","2","3"
"24"
"25","2","8","3","8"
"26","4","5"
"27","3","0"
"28"
"29"
"30"
"31"
"32"
"33"
"34"
"35"
"36"
"37","2","7"
"38"
"39"
"40"
"41"
"42"
"43"
"44"
"45","4","6"
"46"
"47"
"48"
"49"
"50"
"51"
"52"
