"1","1","3","1","4","1","7","5","7"
"2","1","1","2","1","2","9"
"3","1","0"
"4","0","6","1","9"
"5","2","3","2","4","1","5","3","6"
"6","2","0","1","2"
"7","2","2"
"8"
"9"
"10","3","1","3","3"
"11","2","8","3","9"
"12","3","4"
"13","3","5","2","7"
"14","3","2","4","7"
"15","3","7"
"16"
"17","4","2"
"18"
"19"
"20"
"21"
"22"
"23"
"24"
"25"
"26","4","4","4","5"
"27","4","9"
"28","4","3"
"29"
"30","4","1"
"31"
"32"
"33","3","8"
"34"
"35","3","0","4","6"
"36"
"37"
"38"
"39"
"40"
"41"
"42"
"43"
"44"
